Dosya Adı,Gerçek Etiket,Tahmin,Göreceli Risk Olasılığı,Yüksek Risk Olasılığı,Çok Yüksek Risk Olasılığı,Doğru mu?
GLUTEAL.GR.-0.6 (13).jpg,Goreceli_Risk,Yuksek_Risk,0.31570575,0.3508192,0.333475,False
TOPUK.GR.-0.5 (6).jpg,Goreceli_Risk,Cok_Yuksek_Risk,0.30213937,0.3425755,0.35528514,False
TOPUK.GR.-0.8 (12).jpg,Goreceli_Risk,Cok_Yuksek_Risk,0.30302852,0.33114934,0.36582214,False
TOPUK.GR.-0.8 (10).jpg,Goreceli_Risk,Yuksek_Risk,0.30401102,0.36209968,0.33388928,False
TOPUK.GR.-0.4 (5).jpg,Goreceli_Risk,Yuksek_Risk,0.2985102,0.35551804,0.3459718,False
1TOPUK.GR.-0.8.jpg,Goreceli_Risk,Cok_Yuksek_Risk,0.3243777,0.3231803,0.3524421,False
GLUTEAL.GR.-0.9 (11).jpg,Goreceli_Risk,Yuksek_Risk,0.3165521,0.34709498,0.3363529,False
GLUTEAL.GR.-0.5 (17).jpg,Goreceli_Risk,Cok_Yuksek_Risk,0.3301616,0.32116953,0.34866884,False
GLUTEAL.GR.-0.5 (16).jpg,Goreceli_Risk,Yuksek_Risk,0.31803554,0.34938154,0.33258292,False
TOPUK.GR.-0.5 (8).jpg,Goreceli_Risk,Yuksek_Risk,0.31611127,0.3572137,0.32667503,False
TOPUK.GR.-0.3 (3).jpg,Goreceli_Risk,Yuksek_Risk,0.33158088,0.34351477,0.32490438,False
SAKRUM.GR.-0.3 (9).jpg,Goreceli_Risk,Yuksek_Risk,0.32000384,0.36108938,0.31890678,False
GLUTEAL.GR.-0.2 (16).jpg,Goreceli_Risk,Yuksek_Risk,0.30187342,0.36236626,0.3357603,False
